Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BotMod.brd" as of: 02/05/2018 12:59:23
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,1.673,0.925,270
C2,Bottom,2.106,0.925,90
C3,Bottom,1.890,1.102,0
C4,Bottom,1.874,0.709,180
IR1,Top,1.211,0.079,0
IR2,Top,1.939,0.079,0
JP1,Top,1.575,0.346,0
JP2,Bottom,2.461,1.059,0
LD,Top,2.740,0.551,90
Q1,Bottom,0.965,0.591,180
Q2,Bottom,1.220,0.591,180
R1,Top,2.492,0.118,0
R2,Top,0.512,0.374,270
R3,Top,0.374,0.374,270
R4,Top,0.236,0.406,270
R5,Top,0.102,0.409,270
R6,Top,0.650,0.118,0
R7,Top,0.177,0.697,90
R8,Bottom,0.425,1.083,270
R9,Top,0.906,0.118,0
R10,Top,2.232,0.118,0
R11,Bottom,0.302,0.695,90
R12,Bottom,3.042,0.850,90
R13,Bottom,1.220,0.748,0
R14,Bottom,1.457,0.689,270
R15,Bottom,0.965,0.748,0
T1,Top,0.535,0.701,0
U1,Bottom,1.890,0.925,0
